French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,come
arrivé,should
bébé,long time
longtemps,will
vont,while
pendant,meet again
revoir,any
aucune,speak
compris,understood
savais,knew
attention,Warning
pourrais,could
affaire,case
type,type
leurs,their
donné,train
train,body
corps,place
yeux,way
façon,whose
dont,find
trouve,lost
premier,hand
perdu,first
main,side
côté,power
pouvoir,old
vieux,here
tiens,morning
matin,so much
tellement,child
venu,after
suite,come
venez,in front of
devant,request
demandé,beautiful
belle,would like to
aimerais,husband
mari,hope
espère,water
eau,left
parti,job
boulot,would say
dirait,Earth
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
bureau,office
